road,lat,lon,current_speed,free_flow_speed,confidence,timestamp
Pettarani,-5.179262,119.463824,35,35,1,2025-05-26 21:43:28
Tun Abdul Razak,-5.180458,119.465541,35,35,1,2025-05-26 21:43:29
Sultan Alauddin,-5.202323,119.495785,35,35,1,2025-05-26 21:43:29
Pettarani,-5.179262,119.463824,35,35,1,2025-05-26 21:48:30
Tun Abdul Razak,-5.180458,119.465541,35,35,1,2025-05-26 21:48:31
Sultan Alauddin,-5.202323,119.495785,35,35,1,2025-05-26 21:48:32
Pettarani,-5.179262,119.463824,35,35,1,2025-05-26 21:53:35
Tun Abdul Razak,-5.180458,119.465541,35,35,1,2025-05-26 21:53:36
Sultan Alauddin,-5.202323,119.495785,35,35,1,2025-05-26 21:53:48
Pettarani,-5.179262,119.463824,35,35,1,2025-05-26 21:58:49
Tun Abdul Razak,-5.180458,119.465541,35,35,1,2025-05-26 21:58:50
Sultan Alauddin,-5.202323,119.495785,35,35,1,2025-05-26 21:58:52
Pettarani,-5.179262,119.463824,35,35,1,2025-05-26 22:03:54
Tun Abdul Razak,-5.180458,119.465541,35,35,1,2025-05-26 22:03:55
Sultan Alauddin,-5.202323,119.495785,35,35,1,2025-05-26 22:03:56
Pettarani,-5.179262,119.463824,35,35,1,2025-05-26 22:08:56
Tun Abdul Razak,-5.180458,119.465541,35,35,1,2025-05-26 22:08:58
Sultan Alauddin,-5.202323,119.495785,35,35,1,2025-05-26 22:08:59
Pettarani,-5.179262,119.463824,35,35,1,2025-05-26 22:14:00
Tun Abdul Razak,-5.180458,119.465541,35,35,1,2025-05-26 22:14:01
Sultan Alauddin,-5.202323,119.495785,35,35,1,2025-05-26 22:14:02
Pettarani,-5.179262,119.463824,35,35,1,2025-05-26 22:19:03
Tun Abdul Razak,-5.180458,119.465541,35,35,1,2025-05-26 22:19:04
Sultan Alauddin,-5.202323,119.495785,35,35,1,2025-05-26 22:19:04
Pettarani,-5.179262,119.463824,35,35,1,2025-05-26 22:24:05
Tun Abdul Razak,-5.180458,119.465541,35,35,1,2025-05-26 22:24:06
Sultan Alauddin,-5.202323,119.495785,35,35,1,2025-05-26 22:24:07
Pettarani,-5.179262,119.463824,27,36,0.91176,2025-05-27 15:30:20
Tun Abdul Razak,-5.180458,119.465541,27,36,0.91176,2025-05-27 15:30:21
Sultan Alauddin,-5.202323,119.495785,35,35,1.0,2025-05-27 15:30:21
Pettarani,-5.179262,119.463824,27,35,0.933235,2025-05-27 15:35:22
Tun Abdul Razak,-5.180458,119.465541,27,35,0.933235,2025-05-27 15:35:23
Sultan Alauddin,-5.202323,119.495785,29,34,0.915233,2025-05-27 15:35:24
Pettarani,-5.179262,119.463824,28,36,0.905539,2025-05-27 15:40:25
Tun Abdul Razak,-5.180458,119.465541,28,36,0.905539,2025-05-27 15:40:26
Sultan Alauddin,-5.202323,119.495785,35,35,1.0,2025-05-27 15:40:27
Pettarani,-5.179262,119.463824,28,35,0.896154,2025-05-27 15:45:28
Tun Abdul Razak,-5.180458,119.465541,28,35,0.896154,2025-05-27 15:45:29
Sultan Alauddin,-5.202323,119.495785,35,35,1.0,2025-05-27 15:45:29
Pettarani,-5.179262,119.463824,28,35,0.875859,2025-05-27 15:50:30
Tun Abdul Razak,-5.180458,119.465541,28,35,0.875859,2025-05-27 15:50:31
Sultan Alauddin,-5.202323,119.495785,35,35,1.0,2025-05-27 15:50:32
Pettarani,-5.179262,119.463824,28,36,0.856371,2025-05-27 15:55:33
Tun Abdul Razak,-5.180458,119.465541,28,36,0.856371,2025-05-27 15:55:34
Sultan Alauddin,-5.202323,119.495785,35,35,1.0,2025-05-27 15:55:34
Pettarani,-5.179262,119.463824,29,35,0.851962,2025-05-27 16:00:36
Tun Abdul Razak,-5.180458,119.465541,29,35,0.851962,2025-05-27 16:00:37
Sultan Alauddin,-5.202323,119.495785,35,35,1.0,2025-05-27 16:00:38
Pettarani,-5.179262,119.463824,31,36,0.884745,2025-05-27 16:05:40
Tun Abdul Razak,-5.180458,119.465541,31,36,0.864717,2025-05-27 16:05:41
Sultan Alauddin,-5.202323,119.495785,28,34,0.959654,2025-05-27 16:05:41
Pettarani,-5.179262,119.463824,30,35,0.847341,2025-05-27 16:10:42
Tun Abdul Razak,-5.180458,119.465541,30,35,0.847341,2025-05-27 16:10:43
Sultan Alauddin,-5.202323,119.495785,28,35,0.956361,2025-05-27 16:10:44
Pettarani,-5.179262,119.463824,29,35,0.89754,2025-05-27 16:15:44
Tun Abdul Razak,-5.180458,119.465541,29,35,0.89754,2025-05-27 16:15:45
Sultan Alauddin,-5.202323,119.495785,28,34,0.950918,2025-05-27 16:15:46
Pettarani,-5.179262,119.463824,28,35,0.918798,2025-05-27 16:20:47
Tun Abdul Razak,-5.180458,119.465541,29,36,0.918798,2025-05-27 16:20:47
Sultan Alauddin,-5.202323,119.495785,27,34,0.937276,2025-05-27 16:20:48
Pettarani,-5.179262,119.463824,29,35,0.940775,2025-05-27 16:25:49
Tun Abdul Razak,-5.180458,119.465541,29,35,0.945778,2025-05-27 16:25:50
Sultan Alauddin,-5.202323,119.495785,28,34,0.950935,2025-05-27 16:25:51
Pettarani,-5.179262,119.463824,29,36,0.932363,2025-05-27 16:30:52
Tun Abdul Razak,-5.180458,119.465541,29,36,0.932363,2025-05-27 16:30:53
Sultan Alauddin,-5.202323,119.495785,28,35,0.963258,2025-05-27 16:30:53
Pettarani,-5.179262,119.463824,28,35,0.93188,2025-05-27 16:35:55
Tun Abdul Razak,-5.180458,119.465541,28,35,0.93188,2025-05-27 16:35:55
Sultan Alauddin,-5.202323,119.495785,27,34,0.964675,2025-05-27 16:35:56
Pettarani,-5.179262,119.463824,28,36,0.937314,2025-05-27 16:40:57
Tun Abdul Razak,-5.180458,119.465541,28,36,0.937314,2025-05-27 16:40:58
Sultan Alauddin,-5.202323,119.495785,27,34,0.959495,2025-05-27 16:40:59
Pettarani,-5.179262,119.463824,27,36,0.939798,2025-05-27 16:45:59
Tun Abdul Razak,-5.180458,119.465541,27,36,0.939798,2025-05-27 16:46:00
Sultan Alauddin,-5.202323,119.495785,28,35,0.943841,2025-05-27 16:46:01
Boulevard,-5.156843,119.446864,18,23,0.930171,2025-05-27 16:48:11
Tun Abdul Razak,-5.180458,119.465541,27,35,0.937397,2025-05-27 16:48:11
Sultan Alauddin,-5.202323,119.495785,27,34,0.937272,2025-05-27 16:48:12
Boulevard,-5.156843,119.446864,17,23,0.925776,2025-05-27 16:53:13
Tun Abdul Razak,-5.180458,119.465541,26,35,0.91198,2025-05-27 16:53:14
Sultan Alauddin,-5.202323,119.495785,27,35,0.935181,2025-05-27 16:53:15
Boulevard,-5.156843,119.446864,17,23,0.926854,2025-05-27 16:58:16
Tun Abdul Razak,-5.180458,119.465541,27,36,0.915751,2025-05-27 16:58:17
Sultan Alauddin,-5.202323,119.495785,27,35,0.920985,2025-05-27 16:58:18
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-29 18:51:06
Tun Abdul Razak,-5.180458,119.465541,25,36,0.984385,2025-05-29 18:51:07
Sultan Alauddin,-5.202323,119.495785,25,35,0.904324,2025-05-29 18:51:08
Boulevard,-5.156843,119.446864,18,24,0.918945,2025-05-29 19:38:16
Tun Abdul Razak,-5.180458,119.465541,27,35,0.970346,2025-05-29 19:38:18
Sultan Alauddin,-5.202323,119.495785,27,35,0.919625,2025-05-29 19:38:19
Boulevard,-5.156843,119.446864,18,23,0.930187,2025-05-29 19:43:20
Tun Abdul Razak,-5.180458,119.465541,26,36,0.9501,2025-05-29 19:43:20
Sultan Alauddin,-5.202323,119.495785,26,35,0.924016,2025-05-29 19:43:21
Boulevard,-5.156843,119.446864,19,24,0.936876,2025-05-29 19:48:22
Tun Abdul Razak,-5.180458,119.465541,26,36,0.928706,2025-05-29 19:48:25
Sultan Alauddin,-5.202323,119.495785,26,34,0.918212,2025-05-29 19:48:25
Boulevard,-5.156843,119.446864,18,24,0.929991,2025-05-29 19:53:26
Tun Abdul Razak,-5.180458,119.465541,26,35,0.914322,2025-05-29 19:53:27
Sultan Alauddin,-5.202323,119.495785,26,35,0.899993,2025-05-29 19:53:28
Boulevard,-5.156843,119.446864,18,23,0.910616,2025-05-29 19:58:29
Tun Abdul Razak,-5.180458,119.465541,26,35,0.937347,2025-05-29 19:58:30
Sultan Alauddin,-5.202323,119.495785,25,34,0.895392,2025-05-29 19:58:31
Boulevard,-5.156843,119.446864,18,24,0.910616,2025-05-29 20:03:32
Tun Abdul Razak,-5.180458,119.465541,27,35,0.942185,2025-05-29 20:03:33
Sultan Alauddin,-5.202323,119.495785,27,34,0.87499,2025-05-29 20:03:33
Boulevard,-5.156843,119.446864,18,23,0.887985,2025-05-29 20:08:35
Tun Abdul Razak,-5.180458,119.465541,27,36,0.9595,2025-05-29 20:08:36
Sultan Alauddin,-5.202323,119.495785,26,34,0.901978,2025-05-29 20:08:37
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-29 20:13:38
Tun Abdul Razak,-5.180458,119.465541,26,36,0.964108,2025-05-29 20:13:39
Sultan Alauddin,-5.202323,119.495785,27,34,0.942757,2025-05-29 20:13:39
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-29 20:18:41
Tun Abdul Razak,-5.180458,119.465541,26,35,0.97359,2025-05-29 20:18:42
Sultan Alauddin,-5.202323,119.495785,27,35,0.955418,2025-05-29 20:18:43
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-29 20:23:43
Tun Abdul Razak,-5.180458,119.465541,26,36,0.983917,2025-05-29 20:23:44
Sultan Alauddin,-5.202323,119.495785,27,35,0.949998,2025-05-29 20:23:45
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-29 20:28:46
Tun Abdul Razak,-5.180458,119.465541,26,35,0.982497,2025-05-29 20:28:47
Sultan Alauddin,-5.202323,119.495785,27,34,0.94701,2025-05-29 20:28:48
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-29 20:33:48
Tun Abdul Razak,-5.180458,119.465541,27,36,0.986958,2025-05-29 20:33:49
Sultan Alauddin,-5.202323,119.495785,27,35,0.935342,2025-05-29 20:33:50
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-29 20:38:51
Tun Abdul Razak,-5.180458,119.465541,28,36,0.988935,2025-05-29 20:38:52
Sultan Alauddin,-5.202323,119.495785,27,34,0.931201,2025-05-29 20:38:53
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-29 20:43:54
Tun Abdul Razak,-5.180458,119.465541,28,36,0.988403,2025-05-29 20:43:54
Sultan Alauddin,-5.202323,119.495785,27,34,0.909372,2025-05-29 20:43:55
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-29 20:48:57
Tun Abdul Razak,-5.180458,119.465541,27,36,0.985643,2025-05-29 20:48:57
Sultan Alauddin,-5.202323,119.495785,28,35,0.915724,2025-05-29 20:48:58
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-29 20:54:00
Tun Abdul Razak,-5.180458,119.465541,28,35,0.983199,2025-05-29 20:54:01
Sultan Alauddin,-5.202323,119.495785,28,34,0.906268,2025-05-29 20:54:03
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-29 20:59:04
Tun Abdul Razak,-5.180458,119.465541,28,35,0.979434,2025-05-29 20:59:05
Sultan Alauddin,-5.202323,119.495785,28,34,0.929191,2025-05-29 20:59:06
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-29 21:04:08
Tun Abdul Razak,-5.180458,119.465541,28,36,0.974398,2025-05-29 21:04:08
Sultan Alauddin,-5.202323,119.495785,28,35,0.924731,2025-05-29 21:04:10
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-29 21:09:11
Tun Abdul Razak,-5.180458,119.465541,28,35,0.9709,2025-05-29 21:09:12
Sultan Alauddin,-5.202323,119.495785,28,34,0.90273,2025-05-29 21:09:13
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-29 21:14:14
Tun Abdul Razak,-5.180458,119.465541,29,36,0.968925,2025-05-29 21:14:15
Sultan Alauddin,-5.202323,119.495785,27,34,0.896171,2025-05-29 21:14:16
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-29 21:19:17
Tun Abdul Razak,-5.180458,119.465541,29,35,0.965893,2025-05-29 21:19:18
Sultan Alauddin,-5.202323,119.495785,29,35,0.911853,2025-05-29 21:19:19
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-29 21:24:20
Tun Abdul Razak,-5.180458,119.465541,30,36,0.966209,2025-05-29 21:24:20
Sultan Alauddin,-5.202323,119.495785,35,35,1.0,2025-05-29 21:24:21
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-29 21:29:23
Tun Abdul Razak,-5.180458,119.465541,30,35,0.961762,2025-05-29 21:29:24
Sultan Alauddin,-5.202323,119.495785,29,34,0.941829,2025-05-29 21:29:24
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-29 21:34:25
Tun Abdul Razak,-5.180458,119.465541,30,36,0.95163,2025-05-29 21:34:27
Sultan Alauddin,-5.202323,119.495785,29,35,0.944534,2025-05-29 21:34:28
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-29 21:39:29
Tun Abdul Razak,-5.180458,119.465541,29,36,0.945231,2025-05-29 21:39:30
Sultan Alauddin,-5.202323,119.495785,35,35,1.0,2025-05-29 21:39:31
Boulevard,-5.156843,119.446864,19,23,0.907425,2025-05-29 21:44:32
Tun Abdul Razak,-5.180458,119.465541,30,36,0.912147,2025-05-29 21:44:32
Sultan Alauddin,-5.202323,119.495785,30,35,0.9563,2025-05-29 21:44:33
Boulevard,-5.156843,119.446864,19,23,0.908067,2025-05-29 21:49:34
Tun Abdul Razak,-5.180458,119.465541,30,35,0.901918,2025-05-29 21:49:35
Sultan Alauddin,-5.202323,119.495785,35,35,1.0,2025-05-29 21:49:36
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-29 21:54:37
Tun Abdul Razak,-5.180458,119.465541,31,35,0.887106,2025-05-29 21:54:38
Sultan Alauddin,-5.202323,119.495785,35,35,1.0,2025-05-29 21:54:39
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-29 21:59:40
Tun Abdul Razak,-5.180458,119.465541,31,35,0.922575,2025-05-29 21:59:41
Sultan Alauddin,-5.202323,119.495785,35,35,1.0,2025-05-29 21:59:41
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-29 22:04:42
Tun Abdul Razak,-5.180458,119.465541,30,36,0.947759,2025-05-29 22:04:43
Sultan Alauddin,-5.202323,119.495785,35,35,1.0,2025-05-29 22:04:45
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-29 22:09:46
Tun Abdul Razak,-5.180458,119.465541,31,36,0.955749,2025-05-29 22:09:47
Sultan Alauddin,-5.202323,119.495785,35,35,1.0,2025-05-29 22:09:48
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-29 22:14:48
Tun Abdul Razak,-5.180458,119.465541,30,35,0.963652,2025-05-29 22:14:50
Sultan Alauddin,-5.202323,119.495785,35,35,1.0,2025-05-29 22:14:51
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-29 22:19:53
Tun Abdul Razak,-5.180458,119.465541,32,35,0.970846,2025-05-29 22:19:54
Sultan Alauddin,-5.202323,119.495785,35,35,1.0,2025-05-29 22:19:54
Boulevard,-5.156843,119.446864,23,23,1,2025-05-29 22:24:56
Tun Abdul Razak,-5.180458,119.465541,35,35,1,2025-05-29 22:24:57
Sultan Alauddin,-5.202323,119.495785,35,35,1,2025-05-29 22:24:58
Boulevard,-5.156843,119.446864,23,23,1,2025-05-29 22:29:59
Tun Abdul Razak,-5.180458,119.465541,35,35,1,2025-05-29 22:30:00
Sultan Alauddin,-5.202323,119.495785,35,35,1,2025-05-29 22:30:01
Boulevard,-5.156843,119.446864,23,23,1,2025-05-29 22:35:02
Tun Abdul Razak,-5.180458,119.465541,35,35,1,2025-05-29 22:35:03
Sultan Alauddin,-5.202323,119.495785,35,35,1,2025-05-29 22:35:04
Boulevard,-5.156843,119.446864,23,23,1,2025-05-29 22:40:06
Tun Abdul Razak,-5.180458,119.465541,35,35,1,2025-05-29 22:40:06
Sultan Alauddin,-5.202323,119.495785,35,35,1,2025-05-29 22:40:08
Boulevard,-5.156843,119.446864,23,23,1,2025-05-29 22:45:09
Tun Abdul Razak,-5.180458,119.465541,35,35,1,2025-05-29 22:45:10
Sultan Alauddin,-5.202323,119.495785,35,35,1,2025-05-29 22:45:10
Boulevard,-5.156843,119.446864,23,23,1,2025-05-30 11:23:00
Tun Abdul Razak,-5.180458,119.465541,35,35,1,2025-05-30 11:23:01
Sultan Alauddin,-5.202323,119.495785,35,35,1,2025-05-30 11:23:01
Boulevard,-5.156843,119.446864,23,23,1,2025-05-30 11:28:02
Tun Abdul Razak,-5.180458,119.465541,35,35,1,2025-05-30 11:28:03
Sultan Alauddin,-5.202323,119.495785,35,35,1,2025-05-30 11:28:03
Boulevard,-5.156843,119.446864,23,23,1,2025-05-30 11:33:04
Tun Abdul Razak,-5.180458,119.465541,35,35,1,2025-05-30 11:33:05
Sultan Alauddin,-5.202323,119.495785,35,35,1,2025-05-30 11:33:06
Boulevard,-5.156843,119.446864,23,23,1,2025-05-30 11:38:07
Tun Abdul Razak,-5.180458,119.465541,35,35,1,2025-05-30 11:38:09
Sultan Alauddin,-5.202323,119.495785,35,35,1,2025-05-30 11:38:10
Boulevard,-5.156843,119.446864,23,23,1,2025-05-30 11:43:11
Tun Abdul Razak,-5.180458,119.465541,35,35,1,2025-05-30 11:43:13
Sultan Alauddin,-5.202323,119.495785,35,35,1,2025-05-30 11:43:14
Boulevard,-5.156843,119.446864,23,23,1,2025-05-30 11:48:15
Tun Abdul Razak,-5.180458,119.465541,35,35,1,2025-05-30 11:48:16
Sultan Alauddin,-5.202323,119.495785,35,35,1,2025-05-30 11:48:17
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-30 11:53:18
Tun Abdul Razak,-5.180458,119.465541,30,35,0.915325,2025-05-30 11:53:18
Sultan Alauddin,-5.202323,119.495785,35,35,1.0,2025-05-30 11:53:19
Boulevard,-5.156843,119.446864,23,23,1,2025-05-30 11:58:20
Tun Abdul Razak,-5.180458,119.465541,35,35,1,2025-05-30 11:58:21
Sultan Alauddin,-5.202323,119.495785,35,35,1,2025-05-30 11:58:22
Boulevard,-5.156843,119.446864,23,23,1,2025-05-30 12:03:23
Tun Abdul Razak,-5.180458,119.465541,35,35,1,2025-05-30 12:03:24
Sultan Alauddin,-5.202323,119.495785,35,35,1,2025-05-30 12:03:25
Boulevard,-5.156843,119.446864,23,23,1,2025-05-30 12:11:50
Tun Abdul Razak,-5.180458,119.465541,35,35,1,2025-05-30 12:11:51
Sultan Alauddin,-5.202323,119.495785,35,35,1,2025-05-30 12:11:52
Boulevard,-5.156843,119.446864,23,23,1,2025-05-30 12:16:53
Tun Abdul Razak,-5.180458,119.465541,35,35,1,2025-05-30 12:16:54
Sultan Alauddin,-5.202323,119.495785,35,35,1,2025-05-30 12:16:55
Boulevard,-5.156843,119.446864,23,23,1,2025-05-30 12:21:55
Tun Abdul Razak,-5.180458,119.465541,35,35,1,2025-05-30 12:21:56
Sultan Alauddin,-5.202323,119.495785,35,35,1,2025-05-30 12:21:57
Boulevard,-5.156843,119.446864,23,23,1,2025-05-30 12:26:58
Tun Abdul Razak,-5.180458,119.465541,35,35,1,2025-05-30 12:26:59
Sultan Alauddin,-5.202323,119.495785,35,35,1,2025-05-30 12:27:00
Boulevard,-5.156843,119.446864,23,23,1,2025-05-30 12:32:01
Tun Abdul Razak,-5.180458,119.465541,35,35,1,2025-05-30 12:32:02
Sultan Alauddin,-5.202323,119.495785,35,35,1,2025-05-30 12:32:03
Boulevard,-5.156843,119.446864,23,23,1,2025-05-30 12:37:04
Tun Abdul Razak,-5.180458,119.465541,35,35,1,2025-05-30 12:37:04
Sultan Alauddin,-5.202323,119.495785,35,35,1,2025-05-30 12:37:05
Boulevard,-5.156843,119.446864,23,23,1,2025-05-30 12:42:06
Tun Abdul Razak,-5.180458,119.465541,35,35,1,2025-05-30 12:42:07
Sultan Alauddin,-5.202323,119.495785,35,35,1,2025-05-30 12:42:08
Boulevard,-5.156843,119.446864,23,23,1,2025-05-30 12:47:09
Tun Abdul Razak,-5.180458,119.465541,35,35,1,2025-05-30 12:47:10
Sultan Alauddin,-5.202323,119.495785,35,35,1,2025-05-30 12:47:10
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-30 12:52:12
Tun Abdul Razak,-5.180458,119.465541,30,35,0.893639,2025-05-30 12:52:12
Sultan Alauddin,-5.202323,119.495785,35,35,1.0,2025-05-30 12:52:13
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-30 12:57:14
Tun Abdul Razak,-5.180458,119.465541,30,35,0.931447,2025-05-30 12:57:15
Sultan Alauddin,-5.202323,119.495785,35,35,1.0,2025-05-30 12:57:16
Boulevard,-5.156843,119.446864,23,23,1,2025-05-30 13:02:17
Tun Abdul Razak,-5.180458,119.465541,35,35,1,2025-05-30 13:02:18
Sultan Alauddin,-5.202323,119.495785,35,35,1,2025-05-30 13:02:18
Boulevard,-5.156843,119.446864,23,23,1,2025-05-30 13:07:20
Tun Abdul Razak,-5.180458,119.465541,35,35,1,2025-05-30 13:07:21
Sultan Alauddin,-5.202323,119.495785,35,35,1,2025-05-30 13:07:22
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-30 13:12:23
Tun Abdul Razak,-5.180458,119.465541,30,35,0.960211,2025-05-30 13:12:24
Sultan Alauddin,-5.202323,119.495785,35,35,1.0,2025-05-30 13:12:25
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-30 13:17:26
Tun Abdul Razak,-5.180458,119.465541,30,35,0.966569,2025-05-30 13:17:27
Sultan Alauddin,-5.202323,119.495785,35,35,1.0,2025-05-30 13:17:28
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-30 13:22:28
Tun Abdul Razak,-5.180458,119.465541,30,35,0.977762,2025-05-30 13:22:29
Sultan Alauddin,-5.202323,119.495785,35,35,1.0,2025-05-30 13:22:30
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-30 13:27:32
Tun Abdul Razak,-5.180458,119.465541,30,36,0.982403,2025-05-30 13:27:33
Sultan Alauddin,-5.202323,119.495785,35,35,1.0,2025-05-30 13:27:34
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-30 13:32:35
Tun Abdul Razak,-5.180458,119.465541,29,36,0.98203,2025-05-30 13:32:36
Sultan Alauddin,-5.202323,119.495785,35,35,1.0,2025-05-30 13:32:37
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-30 13:37:39
Tun Abdul Razak,-5.180458,119.465541,28,35,0.979239,2025-05-30 13:37:40
Sultan Alauddin,-5.202323,119.495785,35,35,1.0,2025-05-30 13:37:40
Boulevard,-5.156843,119.446864,19,23,0.93701,2025-05-30 13:42:41
Tun Abdul Razak,-5.180458,119.465541,28,35,0.970201,2025-05-30 13:42:42
Sultan Alauddin,-5.202323,119.495785,35,35,1.0,2025-05-30 13:42:43
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-30 13:47:44
Tun Abdul Razak,-5.180458,119.465541,28,36,0.910398,2025-05-30 13:47:45
Sultan Alauddin,-5.202323,119.495785,35,35,1.0,2025-05-30 13:47:45
Boulevard,-5.156843,119.446864,20,24,0.91956,2025-05-30 13:54:07
Tun Abdul Razak,-5.180458,119.465541,28,35,0.85849,2025-05-30 13:54:08
Sultan Alauddin,-5.202323,119.495785,35,35,1.0,2025-05-30 13:54:09
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-30 13:59:10
Tun Abdul Razak,-5.180458,119.465541,27,36,0.861484,2025-05-30 13:59:11
Sultan Alauddin,-5.202323,119.495785,35,35,1.0,2025-05-30 13:59:12
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-30 14:04:12
Tun Abdul Razak,-5.180458,119.465541,28,35,0.896858,2025-05-30 14:04:13
