road,lat,lon,current_speed,free_flow_speed,confidence,timestamp,congestion_percent,rush_hour,congestion_level,low_confidence,is_weekend,hour,speed_diff,temperature,weathercode,weather
Sultan Alauddin,-5.202323,119.495785,35,35,1.0,2025-05-26 22:14:02,0.0,False,Low,False,False,22,0.0,28.6,3,cloudy
Pettarani,-5.179262,119.463824,35,35,1.0,2025-05-26 22:19:03,0.0,False,Low,False,False,22,0.0,28.6,3,cloudy
Tun Abdul Razak,-5.180458,119.465541,35,35,1.0,2025-05-26 22:19:04,0.0,False,Low,False,False,22,0.0,28.6,3,cloudy
Sultan Alauddin,-5.202323,119.495785,35,35,1.0,2025-05-26 22:19:04,0.0,False,Low,False,False,22,0.0,28.6,3,cloudy
Pettarani,-5.179262,119.463824,35,35,1.0,2025-05-26 22:24:05,0.0,False,Low,False,False,22,0.0,28.6,3,cloudy
Tun Abdul Razak,-5.180458,119.465541,35,35,1.0,2025-05-26 22:24:06,0.0,False,Low,False,False,22,0.0,28.6,3,cloudy
Sultan Alauddin,-5.202323,119.495785,35,35,1.0,2025-05-26 22:24:07,0.0,False,Low,False,False,22,0.0,28.6,3,cloudy
Pettarani,-5.179262,119.463824,27,36,0.91176,2025-05-27 15:30:20,25.0,False,Low,False,False,15,-8.0,29.3,3,cloudy
Tun Abdul Razak,-5.180458,119.465541,27,36,0.91176,2025-05-27 15:30:21,25.0,False,Low,False,False,15,0.0,29.3,3,cloudy
Sultan Alauddin,-5.202323,119.495785,35,35,1.0,2025-05-27 15:30:21,0.0,False,Low,False,False,15,8.0,29.3,3,cloudy
Pettarani,-5.179262,119.463824,27,35,0.933235,2025-05-27 15:35:22,22.857142857142854,False,Low,False,False,15,-8.0,29.3,3,cloudy
Tun Abdul Razak,-5.180458,119.465541,27,35,0.933235,2025-05-27 15:35:23,22.857142857142854,False,Low,False,False,15,0.0,29.3,3,cloudy
Sultan Alauddin,-5.202323,119.495785,29,34,0.915233,2025-05-27 15:35:24,14.70588235294118,False,Low,False,False,15,2.0,29.3,3,cloudy
Pettarani,-5.179262,119.463824,28,36,0.905539,2025-05-27 15:40:25,22.22222222222222,False,Low,False,False,15,-1.0,29.3,3,cloudy
Tun Abdul Razak,-5.180458,119.465541,28,36,0.905539,2025-05-27 15:40:26,22.22222222222222,False,Low,False,False,15,0.0,29.3,3,cloudy
Sultan Alauddin,-5.202323,119.495785,35,35,1.0,2025-05-27 15:40:27,0.0,False,Low,False,False,15,7.0,29.3,3,cloudy
Pettarani,-5.179262,119.463824,28,35,0.896154,2025-05-27 15:45:28,19.999999999999996,False,Low,False,False,15,-7.0,29.3,3,cloudy
Tun Abdul Razak,-5.180458,119.465541,28,35,0.896154,2025-05-27 15:45:29,19.999999999999996,False,Low,False,False,15,0.0,29.3,3,cloudy
Sultan Alauddin,-5.202323,119.495785,35,35,1.0,2025-05-27 15:45:29,0.0,False,Low,False,False,15,7.0,29.3,3,cloudy
Pettarani,-5.179262,119.463824,28,35,0.875859,2025-05-27 15:50:30,19.999999999999996,False,Low,False,False,15,-7.0,29.3,3,cloudy
Tun Abdul Razak,-5.180458,119.465541,28,35,0.875859,2025-05-27 15:50:31,19.999999999999996,False,Low,False,False,15,0.0,29.3,3,cloudy
Sultan Alauddin,-5.202323,119.495785,35,35,1.0,2025-05-27 15:50:32,0.0,False,Low,False,False,15,7.0,29.3,3,cloudy
Pettarani,-5.179262,119.463824,28,36,0.856371,2025-05-27 15:55:33,22.22222222222222,False,Low,False,False,15,-7.0,29.3,3,cloudy
Tun Abdul Razak,-5.180458,119.465541,28,36,0.856371,2025-05-27 15:55:34,22.22222222222222,False,Low,False,False,15,0.0,29.3,3,cloudy
Sultan Alauddin,-5.202323,119.495785,35,35,1.0,2025-05-27 15:55:34,0.0,False,Low,False,False,15,7.0,29.3,3,cloudy
Pettarani,-5.179262,119.463824,29,35,0.851962,2025-05-27 16:00:36,17.14285714285714,True,Low,False,False,16,-6.0,28.9,3,cloudy
Tun Abdul Razak,-5.180458,119.465541,29,35,0.851962,2025-05-27 16:00:37,17.14285714285714,True,Low,False,False,16,0.0,28.9,3,cloudy
Sultan Alauddin,-5.202323,119.495785,35,35,1.0,2025-05-27 16:00:38,0.0,True,Low,False,False,16,6.0,28.9,3,cloudy
Pettarani,-5.179262,119.463824,31,36,0.884745,2025-05-27 16:05:40,13.888888888888884,True,Low,False,False,16,-4.0,28.9,3,cloudy
Tun Abdul Razak,-5.180458,119.465541,31,36,0.864717,2025-05-27 16:05:41,13.888888888888884,True,Low,False,False,16,0.0,28.9,3,cloudy
Sultan Alauddin,-5.202323,119.495785,28,34,0.959654,2025-05-27 16:05:41,17.647058823529417,True,Low,False,False,16,-3.0,28.9,3,cloudy
Pettarani,-5.179262,119.463824,30,35,0.847341,2025-05-27 16:10:42,14.28571428571429,True,Low,False,False,16,2.0,28.9,3,cloudy
Tun Abdul Razak,-5.180458,119.465541,30,35,0.847341,2025-05-27 16:10:43,14.28571428571429,True,Low,False,False,16,0.0,28.9,3,cloudy
Sultan Alauddin,-5.202323,119.495785,28,35,0.956361,2025-05-27 16:10:44,19.999999999999996,True,Low,False,False,16,-2.0,28.9,3,cloudy
Pettarani,-5.179262,119.463824,29,35,0.89754,2025-05-27 16:15:44,17.14285714285714,True,Low,False,False,16,1.0,28.9,3,cloudy
Tun Abdul Razak,-5.180458,119.465541,29,35,0.89754,2025-05-27 16:15:45,17.14285714285714,True,Low,False,False,16,0.0,28.9,3,cloudy
Sultan Alauddin,-5.202323,119.495785,28,34,0.950918,2025-05-27 16:15:46,17.647058823529417,True,Low,False,False,16,-1.0,28.9,3,cloudy
Pettarani,-5.179262,119.463824,28,35,0.918798,2025-05-27 16:20:47,19.999999999999996,True,Low,False,False,16,0.0,28.9,3,cloudy
Tun Abdul Razak,-5.180458,119.465541,29,36,0.918798,2025-05-27 16:20:47,19.444444444444443,True,Low,False,False,16,1.0,28.9,3,cloudy
Sultan Alauddin,-5.202323,119.495785,27,34,0.937276,2025-05-27 16:20:48,20.588235294117652,True,Low,False,False,16,-2.0,28.9,3,cloudy
Pettarani,-5.179262,119.463824,29,35,0.940775,2025-05-27 16:25:49,17.14285714285714,True,Low,False,False,16,2.0,28.9,3,cloudy
Tun Abdul Razak,-5.180458,119.465541,29,35,0.945778,2025-05-27 16:25:50,17.14285714285714,True,Low,False,False,16,0.0,28.9,3,cloudy
Sultan Alauddin,-5.202323,119.495785,28,34,0.950935,2025-05-27 16:25:51,17.647058823529417,True,Low,False,False,16,-1.0,28.9,3,cloudy
Pettarani,-5.179262,119.463824,29,36,0.932363,2025-05-27 16:30:52,19.444444444444443,True,Low,False,False,16,1.0,28.9,3,cloudy
Tun Abdul Razak,-5.180458,119.465541,29,36,0.932363,2025-05-27 16:30:53,19.444444444444443,True,Low,False,False,16,0.0,28.9,3,cloudy
Sultan Alauddin,-5.202323,119.495785,28,35,0.963258,2025-05-27 16:30:53,19.999999999999996,True,Low,False,False,16,-1.0,28.9,3,cloudy
Pettarani,-5.179262,119.463824,28,35,0.93188,2025-05-27 16:35:55,19.999999999999996,True,Low,False,False,16,0.0,28.9,3,cloudy
Tun Abdul Razak,-5.180458,119.465541,28,35,0.93188,2025-05-27 16:35:55,19.999999999999996,True,Low,False,False,16,0.0,28.9,3,cloudy
Sultan Alauddin,-5.202323,119.495785,27,34,0.964675,2025-05-27 16:35:56,20.588235294117652,True,Low,False,False,16,-1.0,28.9,3,cloudy
Pettarani,-5.179262,119.463824,28,36,0.937314,2025-05-27 16:40:57,22.22222222222222,True,Low,False,False,16,1.0,28.9,3,cloudy
Tun Abdul Razak,-5.180458,119.465541,28,36,0.937314,2025-05-27 16:40:58,22.22222222222222,True,Low,False,False,16,0.0,28.9,3,cloudy
Sultan Alauddin,-5.202323,119.495785,27,34,0.959495,2025-05-27 16:40:59,20.588235294117652,True,Low,False,False,16,-1.0,28.9,3,cloudy
Pettarani,-5.179262,119.463824,27,36,0.939798,2025-05-27 16:45:59,25.0,True,Low,False,False,16,0.0,28.9,3,cloudy
Tun Abdul Razak,-5.180458,119.465541,27,36,0.939798,2025-05-27 16:46:00,25.0,True,Low,False,False,16,0.0,28.9,3,cloudy
Sultan Alauddin,-5.202323,119.495785,28,35,0.943841,2025-05-27 16:46:01,19.999999999999996,True,Low,False,False,16,1.0,28.9,3,cloudy
Boulevard,-5.156843,119.446864,18,23,0.930171,2025-05-27 16:48:11,21.739130434782606,True,Low,False,False,16,-10.0,28.9,3,cloudy
Tun Abdul Razak,-5.180458,119.465541,27,35,0.937397,2025-05-27 16:48:11,22.857142857142854,True,Low,False,False,16,9.0,28.9,3,cloudy
Sultan Alauddin,-5.202323,119.495785,27,34,0.937272,2025-05-27 16:48:12,20.588235294117652,True,Low,False,False,16,0.0,28.9,3,cloudy
Boulevard,-5.156843,119.446864,17,23,0.925776,2025-05-27 16:53:13,26.086956521739136,True,Low,False,False,16,-10.0,28.9,3,cloudy
Tun Abdul Razak,-5.180458,119.465541,26,35,0.91198,2025-05-27 16:53:14,25.71428571428571,True,Low,False,False,16,9.0,28.9,3,cloudy
Sultan Alauddin,-5.202323,119.495785,27,35,0.935181,2025-05-27 16:53:15,22.857142857142854,True,Low,False,False,16,1.0,28.9,3,cloudy
Boulevard,-5.156843,119.446864,17,23,0.926854,2025-05-27 16:58:16,26.086956521739136,True,Low,False,False,16,-10.0,28.9,3,cloudy
Tun Abdul Razak,-5.180458,119.465541,27,36,0.915751,2025-05-27 16:58:17,25.0,True,Low,False,False,16,10.0,28.9,3,cloudy
Sultan Alauddin,-5.202323,119.495785,27,35,0.920985,2025-05-27 16:58:18,22.857142857142854,True,Low,False,False,16,0.0,28.9,3,cloudy
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-29 18:51:06,0.0,False,Low,False,False,18,-4.0,26.5,61,rainy
Tun Abdul Razak,-5.180458,119.465541,25,36,0.984385,2025-05-29 18:51:07,30.555555555555557,False,Moderate,False,False,18,2.0,26.5,61,rainy
Sultan Alauddin,-5.202323,119.495785,25,35,0.904324,2025-05-29 18:51:08,28.57142857142857,False,Low,False,False,18,0.0,26.5,61,rainy
Boulevard,-5.156843,119.446864,18,24,0.918945,2025-05-29 19:38:16,25.0,False,Low,False,False,19,-7.0,26.6,3,cloudy
Tun Abdul Razak,-5.180458,119.465541,27,35,0.970346,2025-05-29 19:38:18,22.857142857142854,False,Low,False,False,19,9.0,26.6,3,cloudy
Sultan Alauddin,-5.202323,119.495785,27,35,0.919625,2025-05-29 19:38:19,22.857142857142854,False,Low,False,False,19,0.0,26.6,3,cloudy
Boulevard,-5.156843,119.446864,18,23,0.930187,2025-05-29 19:43:20,21.739130434782606,False,Low,False,False,19,-9.0,26.6,3,cloudy
Tun Abdul Razak,-5.180458,119.465541,26,36,0.9501,2025-05-29 19:43:20,27.77777777777778,False,Low,False,False,19,8.0,26.6,3,cloudy
Sultan Alauddin,-5.202323,119.495785,26,35,0.924016,2025-05-29 19:43:21,25.71428571428571,False,Low,False,False,19,0.0,26.6,3,cloudy
Boulevard,-5.156843,119.446864,19,24,0.936876,2025-05-29 19:48:22,20.833333333333336,False,Low,False,False,19,-7.0,26.6,3,cloudy
Tun Abdul Razak,-5.180458,119.465541,26,36,0.928706,2025-05-29 19:48:25,27.77777777777778,False,Low,False,False,19,7.0,26.6,3,cloudy
Sultan Alauddin,-5.202323,119.495785,26,34,0.918212,2025-05-29 19:48:25,23.529411764705888,False,Low,False,False,19,0.0,26.6,3,cloudy
Boulevard,-5.156843,119.446864,18,24,0.929991,2025-05-29 19:53:26,25.0,False,Low,False,False,19,-8.0,26.6,3,cloudy
Tun Abdul Razak,-5.180458,119.465541,26,35,0.914322,2025-05-29 19:53:27,25.71428571428571,False,Low,False,False,19,8.0,26.6,3,cloudy
Sultan Alauddin,-5.202323,119.495785,26,35,0.899993,2025-05-29 19:53:28,25.71428571428571,False,Low,False,False,19,0.0,26.6,3,cloudy
Boulevard,-5.156843,119.446864,18,23,0.910616,2025-05-29 19:58:29,21.739130434782606,False,Low,False,False,19,-8.0,26.6,3,cloudy
Tun Abdul Razak,-5.180458,119.465541,26,35,0.937347,2025-05-29 19:58:30,25.71428571428571,False,Low,False,False,19,8.0,26.6,3,cloudy
Sultan Alauddin,-5.202323,119.495785,25,34,0.895392,2025-05-29 19:58:31,26.470588235294112,False,Low,False,False,19,-1.0,26.6,3,cloudy
Boulevard,-5.156843,119.446864,18,24,0.910616,2025-05-29 20:03:32,25.0,False,Low,False,False,20,-7.0,26.3,2,cloudy
Tun Abdul Razak,-5.180458,119.465541,27,35,0.942185,2025-05-29 20:03:33,22.857142857142854,False,Low,False,False,20,9.0,26.3,2,cloudy
Sultan Alauddin,-5.202323,119.495785,27,34,0.87499,2025-05-29 20:03:33,20.588235294117652,False,Low,False,False,20,0.0,26.3,2,cloudy
Boulevard,-5.156843,119.446864,18,23,0.887985,2025-05-29 20:08:35,21.739130434782606,False,Low,False,False,20,-9.0,26.3,2,cloudy
Tun Abdul Razak,-5.180458,119.465541,27,36,0.9595,2025-05-29 20:08:36,25.0,False,Low,False,False,20,9.0,26.3,2,cloudy
Sultan Alauddin,-5.202323,119.495785,26,34,0.901978,2025-05-29 20:08:37,23.529411764705888,False,Low,False,False,20,-1.0,26.3,2,cloudy
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-29 20:13:38,0.0,False,Low,False,False,20,-3.0,26.3,2,cloudy
Tun Abdul Razak,-5.180458,119.465541,26,36,0.964108,2025-05-29 20:13:39,27.77777777777778,False,Low,False,False,20,3.0,26.3,2,cloudy
Sultan Alauddin,-5.202323,119.495785,27,34,0.942757,2025-05-29 20:13:39,20.588235294117652,False,Low,False,False,20,1.0,26.3,2,cloudy
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-29 20:18:41,0.0,False,Low,False,False,20,-4.0,26.3,2,cloudy
Tun Abdul Razak,-5.180458,119.465541,26,35,0.97359,2025-05-29 20:18:42,25.71428571428571,False,Low,False,False,20,3.0,26.3,2,cloudy
Sultan Alauddin,-5.202323,119.495785,27,35,0.955418,2025-05-29 20:18:43,22.857142857142854,False,Low,False,False,20,1.0,26.3,2,cloudy
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-29 20:23:43,0.0,False,Low,False,False,20,-4.0,26.3,2,cloudy
Tun Abdul Razak,-5.180458,119.465541,26,36,0.983917,2025-05-29 20:23:44,27.77777777777778,False,Low,False,False,20,3.0,26.3,2,cloudy
Sultan Alauddin,-5.202323,119.495785,27,35,0.949998,2025-05-29 20:23:45,22.857142857142854,False,Low,False,False,20,1.0,26.3,2,cloudy
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-29 20:28:46,0.0,False,Low,False,False,20,-4.0,26.3,2,cloudy
Tun Abdul Razak,-5.180458,119.465541,26,35,0.982497,2025-05-29 20:28:47,25.71428571428571,False,Low,False,False,20,3.0,26.3,2,cloudy
Sultan Alauddin,-5.202323,119.495785,27,34,0.94701,2025-05-29 20:28:48,20.588235294117652,False,Low,False,False,20,1.0,26.3,2,cloudy
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-29 20:33:48,0.0,False,Low,False,False,20,-4.0,26.3,2,cloudy
Tun Abdul Razak,-5.180458,119.465541,27,36,0.986958,2025-05-29 20:33:49,25.0,False,Low,False,False,20,4.0,26.3,2,cloudy
Sultan Alauddin,-5.202323,119.495785,27,35,0.935342,2025-05-29 20:33:50,22.857142857142854,False,Low,False,False,20,0.0,26.3,2,cloudy
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-29 20:38:51,0.0,False,Low,False,False,20,-4.0,26.3,2,cloudy
Tun Abdul Razak,-5.180458,119.465541,28,36,0.988935,2025-05-29 20:38:52,22.22222222222222,False,Low,False,False,20,5.0,26.3,2,cloudy
Sultan Alauddin,-5.202323,119.495785,27,34,0.931201,2025-05-29 20:38:53,20.588235294117652,False,Low,False,False,20,-1.0,26.3,2,cloudy
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-29 20:43:54,0.0,False,Low,False,False,20,-4.0,26.3,2,cloudy
Tun Abdul Razak,-5.180458,119.465541,28,36,0.988403,2025-05-29 20:43:54,22.22222222222222,False,Low,False,False,20,5.0,26.3,2,cloudy
Sultan Alauddin,-5.202323,119.495785,27,34,0.909372,2025-05-29 20:43:55,20.588235294117652,False,Low,False,False,20,-1.0,26.3,2,cloudy
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-29 20:48:57,0.0,False,Low,False,False,20,-4.0,26.3,2,cloudy
Tun Abdul Razak,-5.180458,119.465541,27,36,0.985643,2025-05-29 20:48:57,25.0,False,Low,False,False,20,4.0,26.3,2,cloudy
Sultan Alauddin,-5.202323,119.495785,28,35,0.915724,2025-05-29 20:48:58,19.999999999999996,False,Low,False,False,20,1.0,26.3,2,cloudy
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-29 20:54:00,0.0,False,Low,False,False,20,-5.0,26.3,2,cloudy
Tun Abdul Razak,-5.180458,119.465541,28,35,0.983199,2025-05-29 20:54:01,19.999999999999996,False,Low,False,False,20,5.0,26.3,2,cloudy
Sultan Alauddin,-5.202323,119.495785,28,34,0.906268,2025-05-29 20:54:03,17.647058823529417,False,Low,False,False,20,0.0,26.3,2,cloudy
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-29 20:59:04,0.0,False,Low,False,False,20,-5.0,26.3,2,cloudy
Tun Abdul Razak,-5.180458,119.465541,28,35,0.979434,2025-05-29 20:59:05,19.999999999999996,False,Low,False,False,20,5.0,26.3,2,cloudy
Sultan Alauddin,-5.202323,119.495785,28,34,0.929191,2025-05-29 20:59:06,17.647058823529417,False,Low,False,False,20,0.0,26.3,2,cloudy
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-29 21:04:08,0.0,False,Low,False,False,21,-5.0,27.6,2,cloudy
Tun Abdul Razak,-5.180458,119.465541,28,36,0.974398,2025-05-29 21:04:08,22.22222222222222,False,Low,False,False,21,5.0,27.6,2,cloudy
Sultan Alauddin,-5.202323,119.495785,28,35,0.924731,2025-05-29 21:04:10,19.999999999999996,False,Low,False,False,21,0.0,27.6,2,cloudy
Boulevard,-5.156843,119.446864,23,23,1.0,2025-05-29 21:09:11,0.0,False,Low,False,False,21,-5.0,27.6,2,cloudy
